"","linenumber","sentiment","overall","date","Content"
"14",14,-1,"Negative","01/06/10","NEW YORK (MarketWatch) -- The dollar held onto its gains on Wednesday, after a report that showed private-sector employment decreased in December.
The dollar index 
        DXY,
        -0.05%,
       which measures the U.S. unit against a basket of six major currencies, was up 0.05% at 77.618. Private-sector firms in the U.S. eliminated 84,000 jobs in December, the 23rd decline in a row, according to the ADP employment report. (This corrects an earlier version to reflect that private-sector jobs fell in December)."
"15",15,-1,"Negative","01/06/10","NEW YORK (MarketWatch) -- The dollar lost early gains against major counterparts on Wednesday after an index of the service-sector of the U.S. economy rebounded in December. The dollar index 
        DXY,
        -0.05%,
       which measures the U.S. unit against a basket of major currencies, fell fractionally to 77.61. The dollar, however, remained higher against the yen, its main low-yielding rival, gaining 0.8% to 92.41 yen. The Institute for Supply Management said its non-manufacturing index rose to 50.1% from 48.7% in November. Economists were looking the index to rise to 51.0%. The ISM's closely-watched employment index rose to 44.0% in December from 41.6% in November."
"16",16,2,"Positive","01/06/10","NEW YORK (MarketWatch) -- Gold futures rose Wednesday for a fourth straight session, climbing above $1,130 an ounce on concerns that the economic recovery could bring higher inflation, increasing gold's investment appeal."
"17",17,0,"Negative","01/06/10","NEW YORK (MarketWatch) -- The U.S. dollar extended losses against major counterparts Wednesday afternoon, after minutes from the Federal Reserve's last monetary policy meeting revealed officials were unconvinced about the strength of the recovery and that inflation should remain tame for now. The dollar index 
        DXY,
        -0.05%,
       which measures the U.S. unit against a basket of major currencies, stood at 77.397, compared with 77.498 ahead of the report."
"18",18,-4,"Negative","01/06/10","NEW YORK (MarketWatch) -- Crude futures rose Wednesday for a 10th straight session, ending at the highest level in nearly 15 months as a weaker dollar and cold weather boosted prices, offsetting a bearish petroleum report from the government."
"19",19,0,"Negative","01/06/10","NEW YORK (MarketWatch) -- The U.S. dollar extended losses against major counterparts late Wednesday, after minutes from the Federal Reserve's last monetary policy meeting revealed officials were unconvinced about the strength of the recovery and that inflation should remain tame for now."
"20",20,-2,"Negative","01/07/10","NEW YORK (MarketWatch) -- The dollar came off earlier highs against major counterparts on Thursday after the Labor Department reported weekly jobless claims rose 1,000 to a seasonally adjusted 434,000, following two weeks of big declines. The dollar index 
        DXY,
        -0.05%,
       which measures the U.S. unit against a basket of six major counterparts, stood at 77.930, compared with 78.051 ahead of the report."
"21",21,0,"Negative","01/07/10","NEW YORK (MarketWatch) -- Gold futures fell Thursday for the first session in the past five as jitters that China may raise interest rates and cut global growth pressured commodities and lifted the dollar, reducing the metal's investment appeal."
"22",22,0,"Negative","01/07/10","NEW YORK (MarketWatch) -- Crude-oil futures closed under $83 a barrel Thursday, ending a 10-session string of gains, as a stronger dollar and concerns about global oil consumption encouraged investors to take profits."
"23",23,1,"Positive","01/07/10","NEW YORK (MarketWatch) -- Bullish analyst comments boosted financial stocks, fueling an uptick in the broader market Thursday, as investors awaited key jobs data."
"24",24,2,"Positive","01/07/10","NEW YORK (MarketWatch) -- The dollar advanced against most major counterparts Thursday, receiving a boost as Japan's new finance minister indicated a desire for a weaker yen, and as traders readied themselves for the key U.S. jobs report on Friday,  expected to show employment improved in December."
"25",25,-3,"Negative","01/08/10","NEW YORK (MarketWatch) -- The dollar fell in morning trade Friday, after the Labor Department said the U.S. economy lost 85,000 jobs in December, while economists expected slight growth. November figures, however, were revised to show slight job creation in that month. The dollar index 
        DXY,
        -0.05%,
       which measures the greenback against a trade-weighted basket of six major currencies, traded at 77.722, compared with 77.945 ahead of the report. Against the Japanese currency, the dollar fell to 92.58 yen, compared with 93.31."
"26",26,0,"Negative","01/08/10","NEW YORK (MarketWatch) -- Gold futures rose Friday as the U.S. dollar dropped sharply against its major rivals after a largely disappointing jobs data, raising gold's investment appeal."
"27",27,-3,"Negative","01/08/10","NEW YORK (MarketWatch) -- Crude-oil futures ended Friday's choppy trading up slightly, marking their fourth weekly gain as the dollar dropped sharply following a largely disappointing jobs report, boosting dollar-denominated commodities prices."
"28",28,0,"Negative","01/08/10","NEW YORK (MarketWatch) -- The dollar slumped on Friday after the Labor Department said the U.S. economy shed more jobs in December instead of recording the slight increase in payrolls economists expected."
"29",29,1,"Positive","01/08/10","NEW YORK (MarketWatch) -- A late round of buying nudged the stock market to a slight gain Friday, despite disappointing jobs data, ending a week of gains to begin 2010."
"30",30,1,"Positive","01/11/10","NEW YORK (MarketWatch) -- U.S. stock futures rose Monday on the eve of fourth-quarter earnings season as confidence grew that corporate profits and the economy at large will stay on the mend."
"31",31,0,"Negative","01/11/10","BOSTON (MarketWatch) -- Investment manager WisdomTree hopes a new exchange-traded fund that invests in foreign stocks but hedges currency exposure will find a receptive audience with investors nervous about the prospects of a strengthening dollar in 2010."
"32",32,2,"Positive","01/11/10","NEW YORK (MarketWatch) -- Gold futures rose Monday, boosted by a report of strong Chinese imports data and after a Federal Reserve official emphasized that U.S. interest rates are likely to stay low, pressuring the dollar."
"33",33,3,"Positive","01/11/10","NEW YORK (MarketWatch) -- The dollar started the week lower on Monday, falling against the euro to its lowest in three weeks after a strong jump in Chinese trade supported expectations that the global economy could recover sooner or faster than the U.S. economy."
"34",34,-2,"Negative","01/11/10","NEW YORK (MarketWatch) -- Crude oil futures finished the session lower on Monday, pressured by forecasts of warmer weather following weeks of freezing temperatures that had bumped oil to 15-month highs."
"35",35,0,"Negative","01/12/10","NEW YORK (MarketWatch) -- The dollar remained slightly higher versus the euro and other major currencies on Tuesday after the U.S. Commerce Department said the nation's trade deficit widened by 9.7% in November to $36.4 billion, above the consensus forecast of Wall Street economists. The dollar index 
        DXY,
        -0.06%,
       which measures the greenback against a trade-weighted basket of six major currencies, stood at 77.076, up slightly from 76.991 Monday. The euro slipped to $1.4485 versus the dollar, down from $1.4526 in North American trade on Monday."
"36",36,-1,"Negative","01/12/10","NEW YORK (MarketWatch) -- Gold futures turned higher on Tuesday, as the dollar lost early gains against major counterparts, offsetting concerns about Chinese moves to curtail growth. Gold for February delivery was recently up 40 cents at $1,151.80 an ounce. It earlier slumped to a low of $1,144.30 an ounce, after the People's Bank of China lifted the reserve requirements for banks by a half point and lifted its interbank rate for the second time in a week. The dollar, which rose earlier as investors sought the safety of the low-yielding currency, lost some steam. In recent action, the dollar index 
        DXY,
        -0.06%,
       which measures the greenback's performance against a basket of major currencies, fell 0.2% to 76.894."
"37",37,0,"Negative","01/12/10","NEW YORK (MarketWatch) -- The dollar headed lower in mid-morning U.S. trading versus the euro and other major currencies as the Dow Jones Industrial Average 
        DJIA,
        -1.94%
       pared is losses, reducing interest in the safe-haven status of the U.S. currency as news out of China, Greece and Alcoa's 
        AA,
        -10.79%
       earnings triggered an earlier shift from riskier, higher-yielding assets. After topping 77 earlier, the dollar index 
        DXY,
        -0.06%,
       which measures the greenback against a trade-weighted basket of six major currencies, stood at 76.773, down from 76.991 Monday. The euro inched up to $1.4541, after falling below $1.45 during the session and compared to $1.4526 in late North American trade on Monday. The dollar remained 0.5% higher versus the Australian dollar after the People's Bank of China took steps to restrain credit growth. The Japanese yen, one of the lowest-yielding currencies in the world, held onto gains of more than 1% versus the greenback euro and Australian dollar."
"38",38,2,"Positive","01/12/10","SAN FRANCISCO (MarketWatch) -- February gold futures closed $22, or 1.9%, lower at $1,129.4 an ounce Tuesday, weighed down by prospects for slower growth after China moved towards raising borrowing costs, a sign the world's largest consumer of many commodities is trying to cool its rapid growth. Gold had briefly turned higher after the U.S. dollar fell. The dollar index 
        DXY,
        -0.05%
       recently traded down 0.1% at 76.98, coming off lows of 76.76."
"39",39,-1,"Negative","01/12/10","NEW YORK (MarketWatch) -- Gold futures slumped on Tuesday, hit by concerns that China's moves to slow lending and impact demand from the world's largest consumer of many commodities."
"40",40,1,"Positive","01/12/10","NEW YORK (MarketWatch) -- The dollar advanced against the Australian dollar and other high-yielding currencies Tuesday, but was little changed against the euro, after the People's Bank of China said it would require banks to hold more cash in reserve as it attempts to restrain credit growth."
"41",41,1,"Positive","01/13/10","NEW YORK (MarketWatch) -- Gold futures advanced on Wednesday, receiving a lift from a weaker dollar ahead of an economic assessment from the Federal Reserve which might provide some clues on interest rates. Gold for February delivery gained $7.30, or 0.7%, to $1,136.70 an ounce in electronic trade. The dollar index 
        DXY,
        -0.06%,
       which measures the U.S. unit against a basket of six major currencies, recently fell 0.5% to 76.63. The Fed will release its Beige Book of economic conditions at 2 p.m. Eastern. On Tuesday, gold slumped nearly 2% hit by concerns that China's moves to slow lending and impact demand from the world's largest consumer of many commodities."
"42",42,-1,"Negative","01/13/10","SAN FRANCISCO (MarketWatch) -- The U.S. dollar held to minor losses against a basket of its rivals Wednesday after the Federal Reserve's report on regional economic conditions said conditions were improving modestly, and the U.S. Treasury said the government ran a budget deficit of $91.8 billion in December. The dollar index 
        DXY,
        -0.06%
       traded at 77 versus 76.84 just ahead of the early-afternoon reports, for a loss of about 0.2% for the day. The dollar fell against the euro, pound and Canadian dollar but gained against the yen."
"43",43,1,"Positive","01/13/10","NEW YORK (MarketWatch) -- The dollar remained lower versus most major rivals on Wednesday after the Federal Reserve's report on regional economic conditions said conditions were improving modestly, and the U.S. Treasury said the government ran a budget deficit of $91.8 billion in December."
"44",44,1,"Positive","01/13/10","NEW YORK (MarketWatch) -- Gold futures finished Wednesday's volatile session on higher ground and extended gains in electronic trade, as the U.S. dollar remained under pressure after a key assessment of the U.S. economy from the Federal Reserve."
"45",45,-3,"Negative","01/14/10","NEW YORK (MarketWatch) -- The dollar surrendered gains versus a basket of major rivals on Thursday after U.S. data showed retail sales unexpectedly fell 0.3% last month and initial jobless claims last week totaled 444,000, near the highest in almost a month. The dollar index 
        DXY,
        -0.06%
       traded at 76.874, down from 76.997 before the data and compared to 76.858 in North American trade late Wednesday. The index gauges the performance of the greenback against a trade-weighted basket of six major currencies. At the same time, European Central Bank President Jean-Claude Trichet said the economic recovery in the euro-zone will remain uneven. Analysts had been hoping for some comments regarding the impact of Greece's financial troubles on the region and shared currency. The euro was little changed during his press conference, compared to slightly lower earlier. The euro bought $1.4498, compared to $1.4510 late Wednesday."
"46",46,-3,"Negative","01/14/10","NEW YORK (MarketWatch) -- U.S. stock futures, ahead of key earnings reports including technology bellwether Intel Corp., posted modest losses Thursday after December retail sales unexpectedly fell and weekly jobless claims climbed."
"47",47,0,"Negative","01/14/10","NEW YORK (MarketWatch) -- Gold futures rose on Thursday as traders assessed movements in the dollar, which came under pressure after a round of disappointing U.S. economic reports on retail sales and joblessness."
"48",48,-3,"Negative","01/14/10","NEW YORK (MarketWatch) -- Crude oil futures finished lower for a fourth straight session on Thursday after traders digested a disappointing round of U.S. economic reports on retail sales and jobless claims."
"49",49,0,"Negative","01/14/10","NEW YORK (MarketWatch) -- The dollar fell slightly in late trade Thursday, as disappointing U.S. economic reports offset previous gains against the euro. The dollar earlier rose after European Central Bank chief Jean-Claude Trichet gave a mixed assessment of the euro-zone economy and called for a strong dollar."
"50",50,-3,"Negative","01/15/10","NEW YORK (MarketWatch) -- The dollar extended gains slightly versus the euro and other major currencies on Friday after the U.S. government's consumer price index rose 0.1% in December, a slower pace than analysts expected. The dollar index [s$ dxy], which gauges the performance of the greenback against a trade-weighted basket of six major currencies, rose to 77.259, up from 76.762 in North American trading late Thursday. The report also showed prices rose 2.7% in 2009, while core prices -- excluding food and energy -- rose 1.8%. Still to come is data on industrial production and a survey on consumer confidence. The euro was the big loser before the data amid worries about Greece's fiscal situation and refuted rumors that German Chancellor Angela Merkel was preparing to resign."
"51",51,-4,"Negative","01/15/10","NEW YORK (MarketWatch) -- The dollar remained higher versus the euro and other major currencies after a report showed U.S. industrial production rose 0.6% in December, a little more than economists expected. The dollar index [s$ dxy], which gauges the performance of the greenback against a trade-weighted basket of six major currencies, rose to 77.193, up from 76.762 in North American trading late Thursday. The report also showed a gauge of slack in the economy rose last month. Still to come is a survey on consumer confidence. The euro was the big loser before the data amid worries about Greece's fiscal situation and refuted rumors that German Chancellor Angela Merkel was preparing to resign."
"52",52,1,"Positive","01/15/10","NEW YORK (MarketWatch) -- The dollar held onto gains versus the euro and other major currencies on Friday after the Reuters/University of Michigan's gauge of consumer sentiment rose less than some economists expected. The dollar index 
        DXY,
        -0.06%,
       which gauges the performance of the greenback against a trade-weighted basket of six major currencies, rose to 77.226, up from 76.762 in North American trading late Thursday."
"53",53,-2,"Negative","01/15/10","NEW YORK (MarketWatch) -- The U.S. dollar gained versus the euro amid worries about Greece's fiscal situation and refuted rumors that German Chancellor Angela Merkel was preparing to resign."
"54",54,-1,"Negative","01/15/10","A previous version of this report gave the incorrect unit for copper prices."
"55",55,-2,"Negative","01/19/10","SAN FRANCISCO (MarketWatch) -- Crude-oil futures briefly traded higher in choppy trading Tuesday, tugged by a gain in the U.S. dollar and the offsetting pull of rising U.S. stocks. Oil for February delivery recently gained 8 cents, or 0.1%, to $78.08 a barrel. Heating oil, gasoline and natural-gas futures fell. The U.S. dollar index 
        DXY,
        -0.07%
       added about 0.6% to 77.654, while the S&P 500 
        SPX,
        -2.38%
       rose nearly 1% to 1,147. A higher dollar typically undercuts the value of commodities, which are also impacted by investor sentiment toward stocks."
"56",56,2,"Positive","01/19/10","NEW YORK (MarketWatch) -- The U.S. dollar gained ground and Treasurys came off lows Tuesday afternoon, after the National Association of Home Builders said its sentiment index fell in January to its lowest level since June.
The dollar index 
        DXY,
        -0.07%,
       which measures the U.S. unit against a basket of major currencies, gained 0.6% to 77.54 compared with 77.49 ahead of the report. The price of benchmark 10-year Treasury 
        TMUBMUSD10Y,
        3.046%
       notes came off earlier lows while yields, which move inversely to prices, pared gains, recently up 1 basis point at 3.699%."
"57",57,0,"Negative","01/19/10","NEW YORK (MarketWatch) -- Platinum and palladium futures saw their rally accelerate on Tuesday, as investors flocked to the metals following the recent launch of exchange-traded funds in the U.S."
"58",58,0,"Negative","01/19/10","NEW YORK (MarketWatch) -- The U.S. dollar firmed against most major counterparts on Tuesday, with the gains especially strong against the euro amid continued worry about Greek debt and further signs that Germany's economic recovery may be losing momentum."
"59",59,1,"Positive","01/19/10","NEW YORK (MarketWatch) -- The stock market hit a new 15-month high Tuesday, spurred by the biggest jump in health-care shares since the summer as traders bet on the outcome of a Senate race with big implications for proposed health-insurance reforms."
"60",60,-1,"Negative","01/19/10","SAN FRANCISCO (MarketWatch) -- Crude-oil futures ended New York floor trading higher for the first session in six on Tuesday, helped by a surge in U.S. stocks that offset a rise in the U.S. dollar on concerns about European growth prospects."
"61",61,-2,"Negative","01/20/10","NEW YORK (MarketWatch) -- The dollar held onto strong gains Wednesday after a pair of reports showed U.S. housing starts improved and core wholesale prices remained benign last month. The dollar index 
        DXY,
        -0.07%,
       which tracks the currency against a trade-weighted basket of six major rivals, rose to 78.172, up slightly from before the data and from 77.451 in late North American trading Tuesday. Housing starts fell 4% to a 557,000 pace last month, a smaller improvement than some economists expected. Separately, the government's producer price-index rose 0.2% in December. Core prices, excluding food and energy, were flat last month. The euro fell to a five-month low versus the U.S. dollar, at $1.4141, as fears that Chinese efforts to rein in lending led investors to shun risky assets and ongoing worries about Greece's budget problems kept pressure on the single currency."
"62",62,-2,"Negative","01/20/10","NEW YORK (MarketWatch) -- Gold futures, along with those of industrial metals such as copper, fell sharply Wednesday on concern that China might further tighten its lending and slow demand from the world's fastest-growing economy."
"63",63,-2,"Negative","01/20/10","NEW YORK (MarketWatch) -- Crude-oil futures slumped 1.8% on Wednesday, pressured by concerns tighter lending measures in China will curb demand and by forecasts of rising U.S. petroleum inventories."
"64",64,-3,"Negative","01/20/10","NEW YORK (MarketWatch) -- The dollar jumped to its highest level in five months versus the euro on Wednesday as reports that China is reining in lending led investors to shun risky assets and worries about Greece's budget problems kept pressure on the shared currency."
"65",65,-3,"Negative","01/20/10","NEW YORK (MarketWatch) -- Fears of a possible rise in borrowing costs globally sent the U.S. stock market to its worst decline since mid-December on Wednesday."
"66",66,-1,"Negative","01/21/10","NEW YORK (MarketWatch) -- The dollar pared its gains versus the euro and other major currencies on Thursday after a report showed U.S. jobless claims unexpectedly rose to 482,000 in the latest week. The dollar index 
        DXY,
        -0.06%,
       a measure of the U.S. unit against a trade-weighted basket of rivals, traded at 78.496, compared to 78.706 before the data but still up from 78.355 in North American trade late Wednesday. The euro changed hands at $1.4090, down from $1.4107 on Wednesday. Still to come is data on leading indicators and the Philadelphia Federal Reserve's manufacturing index. The U.S. dollar hit another five-month high versus the euro amid ongoing worries about Greece."
"67",67,0,"Negative","01/21/10","NEW YORK (MarketWatch) -- The dollar pared its gains versus the euro and other major currencies on Thursday after the Philadelphia Federal Reserve's manufacturing index fell more than expected this month and an index of leading indicators for December rose 1.1%. The dollar index 
        DXY,
        -0.06%,
       a measure of the U.S. unit against a basket of rivals, traded at 78.446, compared to 78.355 in North American trade late Wednesday. The euro changed hands at $1.4104, from $1.4107 on Wednesday. Earlier, the U.S. hit a new five-month high versus the euro amid ongoing worries about Greece."
"68",68,-4,"Negative","01/21/10","NEW YORK (MarketWatch) -- The dollar gave up earlier gains in afternoon trading on Thursday in a volatile session marked with conflicting signals from economic data, and stocks dropping as President Obama outlined plans to rein in banks. ""Talk from the president of a major overhaul of how banks can operate appears to have scared foreign interest away from the greenback,"" said analysts at Action Economics. The dollar index 
        DXY,
        -0.06%,
       a measure of the U.S. unit against a trade-weighted basket of rivals, traded at 78.326, compared to 78.706 earlier in the day and down from 78.355 in North American trade late Wednesday. The euro changed hands at $1.4101, little changed from Wednesday. The U.S. currency touched a five-month high versus the euro earlier, as ongoing worries about Greece and concerns China will have to slow growth had investors moving towards the safe-haven of the dollar."
"69",69,-1,"Negative","01/21/10","NEW YORK (MarketWatch) -- The dollar gave up gains versus the euro in afternoon trading on Thursday in a volatile session marked with conflicting signals from economic data, and stocks dropping as President Obama outlined his plans to rein in banks."
"70",70,-2,"Negative","01/21/10","NEW YORK (MarketWatch) -- Crude oil futures fell for a second straight session Thursday, ending 2% lower to trade near $76 a barrel, as a report of a drop in U.S. crude supplies wasn't enough to offset concerns about low demand and about China's efforts to cool its growth."
"71",71,-1,"Negative","01/21/10","SAN FRANCISCO (MarketWatch) -- Gold futures extended their loss into a second session Thursday, pressured as Chinese inflation data fed expectations Beijing was moving to slow the country's growth, and by a rise in the U.S. dollar."
"72",72,-1,"Negative","01/22/10","NEW YORK (MarketWatch) -- Gold futures finished the week 2.4% lower on Friday, slumping to their lowest level in a month, hit by concerns that China's moves to curb lending will dampen growth, reducing the precious metal's appeal as a hedge against weak currencies and inflation."
"73",73,-1,"Negative","01/22/10","NEW YORK (MarketWatch) -- The dollar gave up some of this week's gains on Friday, in the aftermath of the Obama administration's controversial plan to limit the size of the nation's largest banks and what trading activities they could engage in."
"74",74,-3,"Negative","01/25/10","NEW YORK (MarketWatch) -- The dollar pared a decline versus the euro on Monday after a report said U.S. sales of existing homes dropped much more than forecast last month. The dollar index [s$ dxy], which measures the greenback against a trade-weighted basket of six major counterparts, traded at 78.266, after falling as low as 78.026 earlier and compared to 78.288 in late North American trading Friday. The euro had gained ground earlier as it appeared that fiscally-troubled Greece found plenty of demand for its five-year syndicated bond issue. The euro traded at $1.4133, compared to $1.4139 late Friday."
"75",75,1,"Positive","01/25/10","NEW YORK (MarketWatch) -- Gold futures ended higher Monday, as easing concerns over Greek debt pressured the dollar while investors were lured by lower prices after the precious metal's 4% slide over the prior three sessions."
"76",76,-1,"Negative","01/25/10","NEW YORK (MarketWatch) -- The U.S. dollar slumped versus the euro on Monday, though the buck was mixed versus other major counterparts, as fiscally troubled Greece found strong demand for its five-year syndicated bond issue."
"77",77,-1,"Negative","01/25/10","NEW YORK (MarketWatch) -- Crude oil rose slightly Monday, tracking a modest rebound in stocks on Wall Street and a weak dollar, as concerns about Chinese growth, U.S. bank reforms and the re-appointment of Federal Reserve Chairman Ben Bernanke faded."
"78",78,-2,"Negative","01/26/10","NEW YORK (MarketWatch) -- The dollar added to gains on Tuesday after the Case-Shiller home price index fell 0.2% in November compared with October on a not seasonally adjusted basis. The dollar index 
        DXY,
        -0.06%,
       which measures the greenback against a basket of six major currencies, rose to 78.582, compared to 78.570 earlier and up from 78.188 late Monday. The dollar was higher before the data as stocks fell on China's move to limit its growth and following Standard & Poor's darker outlook for Japan's rating. Still to come is a report on consumer confidence."
"79",79,3,"Positive","01/26/10","NEW YORK (MarketWatch) -- The dollar held onto gains versus most major rivals on Tuesday after the Conference Board's consumer confidence index rose to 55.9 in January from an upwardly revised 53.6 in December, a 16-month high and better than economists had expected. The dollar index 
        DXY,
        -0.06%,
       which measures the greenback against a basket of six major currencies, rose to 78.553, up from 78.188 late Monday."
"80",80,-1,"Negative","01/26/10","NEW YORK (MarketWatch) -- Most metals finished lower on Tuesday, as fresh moves by China to curb lending fueled concerns over lower demand from the world's fastest growing economy, sent investors fleeing to the safety of the dollar, reducing the relative value of hard assets."
"81",81,-2,"Negative","01/26/10","NEW YORK (MarketWatch) -- The U.S. dollar rose versus major counterparts on Tuesday, earlier touching the highest in more than a month, on news that China wanted to rein in bank lending and that Japan's debt rating is in jeopardy."
"82",82,2,"Positive","01/26/10","SAN FRANCISCO (MarketWatch) -- The Canadian dollar is on track to hit parity with the U.S. dollar, a rise that would underscore the strength of Canada's economy compared with that of the United States, as well as the country's vulnerability to swift changes in commodities prices."
"83",83,0,"Negative","01/27/10","NEW YORK (MarketWatch) -- The U.S. dollar and Treasurys added to gains on Wednesday, after a midmorning report showed a 7.6% drop in new home sales last month. The dollar index 
        DXY,
        -0.06%,
       which measures the U.S. unit against at basket of six major currencies, stood at 78.601, compared with 78.414 ahead of the data. Benchmark 10-year yields 
        TMUBMUSD10Y,
        3.046%,
       which move inversely to prices, fell 5 basis points to 3.577%."
"84",84,-1,"Negative","01/27/10","NEW YORK (MarketWatch) -- The dollar rose and Treasurys fell on Wednesday, after the Federal Reserve kept interest rates unchanged near zero as expected, but the decision was not unamimous. The dollar index 
        DXY,
        -0.06%,
       which measures the U.S. unit against a basket of six major currencies, stood at 78.777, up from 78.585 ahead of the decision. Benchmark 10-year Treasurys, which rose ahead of the Fed, turned lower, sending their yields up by 1 basis point to 3.630%, compared with 3.610% before the Fed."
"85",85,2,"Positive","01/27/10","NEW YORK (MarketWatch) -- The dollar's gains accelerated against major currencies Wednesday after the Federal Reserve kept interest rates near zero, as expected, but issued a more upbeat assessment of the U.S. economy."
"86",86,1,"Positive","01/27/10","SAN FRANCISCO (MarketWatch) -- Oil futures closed lower Wednesday, with intraday attempts at gains squashed by concerns that Chinese policy moves will stall the global recovery, and by a rise in inventories of gasoline and other refined products."
"87",87,-1,"Negative","01/28/10","NEW YORK (MarketWatch) -- The dollar briefly extended gains on Thursday, touching a 6-month high versus the euro, after the Labor Department said the number of initial claims in the latest week fell 8,000 to 470,000. The consensus forecast of Wall Street economists was for claims to drop below 450,000. A separate report said orders for durable goods rose 0.3% last month, much less than forecast. The euro fell to $1.3994 from $1.4022 in late North American trading Wednesday. Earlier in Asian trading, it fell to six-month low of $1.3927, according to FactSet Research. The dollar index 
        DXY,
        -0.06%,
       which tracks the U.S. currency against a trade-weighted basket of six major rivals, was little changed at 78.738, from 78.750 late Wednesday."
"88",88,2,"Positive","01/28/10","NEW YORK (MarketWatch) -- U.S. stock futures remained mostly higher on Thursday as markets assessed President Barack Obama's State of the Union address, while upbeat results from Ford Motor Co. and others also contributed to a positive tone."
"89",89,1,"Positive","01/28/10","NEW YORK (MarketWatch) -- Gold futures finished slightly lower on Thursday, tracking Wall Street stocks' and commodities' broad move down on the back of mixed tech earnings and economic reports."
"90",90,3,"Positive","01/28/10","NEW YORK (MarketWatch) -- The dollar gained Thursday, rising to the highest since July against the euro, as investors around the globe signaled approval of the Federal Reserve's more upbeat outlook for the U.S. economy."
"91",91,3,"Positive","01/29/10","NEW YORK (MarketWatch) -- The dollar added to gains versus most major currencies on Friday after a report said the U.S. economy grew at a 5.7% pace in the fourth quarter, faster than many economists expected. The dollar index 
        DXY,
        -0.06%,
       which tracks the greenback against a trade-weighted basket of six major currencies, rose to 79.129 in recent trading, compared with 78.875 late Thursday. Traders will also watch for a report on consumer confidence due at 10 a.m. Eastern. (Corrects headline.)"
